id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
fo:cfo,fo,federal-district,Центральный федеральный округ,,Central Federal District,ЦФО,,,54.533,37.617,Q190778,,,,,active,,wikidata,,2026-09-25,центр: Москва
fo:szfo,fo,federal-district,Северо-Западный федеральный округ,,Northwestern Federal District,СЗФО,,,59.95,30.31666667,Q383093,,,,,active,,wikidata,,2026-09-25,центр: Санкт-Петербург
fo:ufo,fo,federal-district,Южный федеральный округ,,Southern Federal District,ЮФО,,,47,42,Q483599,,,,,active,,wikidata,,2026-09-25,центр: Ростов-на-Дону
fo:skfo,fo,federal-district,Северо-Кавказский федеральный округ,,North Caucasian Federal District,СКФО,,,43.7114,44.8061,Q485161,,,,,active,,wikidata,,2026-09-25,центр: Пятигорск
fo:pfo,fo,federal-district,Приволжский федеральный округ,,Volga Federal District,ПФО,,,56.33333333,44,Q202317,,,,,active,,wikidata,,2026-09-25,центр: Нижний Новгород
fo:urfo,fo,federal-district,Уральский федеральный округ,,Ural Federal District,УрФО,,,56.83333333,60.58333333,Q41964,,,,,active,,wikidata,,2026-09-25,центр: Екатеринбург
fo:sfo,fo,federal-district,Сибирский федеральный округ,,Siberian Federal District,СФО,,,55,83,Q41979,,,,,active,,wikidata,,2026-09-25,центр: Новосибирск
fo:dfo,fo,federal-district,Дальневосточный федеральный округ,,Far Eastern Federal District,ДФО,,,48.7,135.2,Q41968,,,,,active,,wikidata,,2026-09-25,центр: Владивосток
