id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
foiv:fns,foiv,agency,Федеральная налоговая служба,,,ФНС,foiv:minfin,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:probpalata,foiv,agency,Федеральная пробирная палата,,,Пробирная палата,foiv:minfin,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:ralco,foiv,agency,Федеральная служба по контролю за алкогольным и табачным рынками,,,Росалкогольтабакконтроль,foiv:minfin,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:fts,foiv,agency,Федеральная таможенная служба,,Federal Customs Service of Russia,ФТС,foiv:minfin,,,,Q2896007,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:roskazna,foiv,agency,Федеральное казначейство,,,Казначейство,foiv:minfin,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:rosimushchestvo,foiv,agency,Федеральное агентство по управлению государственным имуществом,,Federal Agency for State Property Management,Росимущество,foiv:minfin,,,,Q1659060,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:minkomsvyaz,foiv,agency,"Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации",,"Ministry of Digital Development, Communications and Mass Media of the Russian Federation",Минцифры,,,,,Q4294667,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rkn,foiv,agency,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",,,Роскомнадзор,foiv:minkomsvyaz,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:economy,foiv,agency,Министерство экономического развития Российской Федерации,,,Минэкономразвития,,,,,,,,,,active,,ukase-326,2024-06-17,2026-09-09,
foiv:rsacc,foiv,agency,Федеральная служба по аккредитации,,Federal Accreditation Service,Росаккредитация,foiv:economy,,,,Q16438252,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosstat,foiv,agency,Федеральная служба государственной статистики,,Federal State Statistics Service,Росстат,foiv:economy,,,,Q2624680,,,,,active,,ukase-326,2024-06-17,2026-09-24,
