id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
wd:Q196486,city,Старый Оскол,,m,mixed_phrase,always,Старый Оскол,Старого Оскола,Старому Осколу,Старый Оскол,Старым Осколом,Старом Осколе,,needs_review,manual
wd:Q2235,city,Великий Новгород,,m,mixed_phrase,always,Великий Новгород,Великого Новгорода,Великому Новгороду,Великий Новгород,Великим Новгородом,Великом Новгороде,,needs_review,manual
wd:Q104557,city,Балашиха,,f,noun_f1,always,Балашиха,Балашихи,Балашихе,Балашиху,Балашихой,Балашихе,,needs_review,manual
wd:Q6934,city,Благовещенск,,m,noun_m2,always,Благовещенск,Благовещенска,Благовещенску,Благовещенск,Благовещенском,Благовещенске,,needs_review,manual
wd:Q198748,city,Энгельс,,m,noun_m2,always,Энгельс,Энгельса,Энгельсу,Энгельс,Энгельсом,Энгельсе,,needs_review,manual
wd:Q19520,city,Подольск,,m,noun_m2,always,Подольск,Подольска,Подольску,Подольск,Подольском,Подольске,,needs_review,manual
wd:Q197582,city,Химки,,pl,pl_tantum,always,Химки,Химок,Химкам,Химки,Химками,Химках,,needs_review,manual
wd:Q2214,city,Псков,,m,noun_m2,always,Псков,Пскова,Пскову,Псков,Псковом,Пскове,,needs_review,manual
wd:Q7859,city,Южно-Сахалинск,,m,noun_m2,always,Южно-Сахалинск,Южно-Сахалинска,Южно-Сахалинску,Южно-Сахалинск,Южно-Сахалинском,Южно-Сахалинске,,needs_review,manual
wd:Q102667,city,Бийск,,m,noun_m2,always,Бийск,Бийска,Бийску,Бийск,Бийском,Бийске,,needs_review,manual
wd:Q184147,city,Прокопьевск,,m,noun_m2,always,Прокопьевск,Прокопьевска,Прокопьевску,Прокопьевск,Прокопьевском,Прокопьевске,,needs_review,manual
wd:Q193413,city,Рыбинск,,m,noun_m2,always,Рыбинск,Рыбинска,Рыбинску,Рыбинск,Рыбинском,Рыбинске,,needs_review,manual
wd:Q104560,city,Балаково,,n,noun_n_ovo,optional,Балаково,Балакова,Балакову,Балаково,Балаковом,Балакове,,needs_review,manual
wd:Q15767,city,Армавир,,m,noun_m2,always,Армавир,Армавира,Армавиру,Армавир,Армавиром,Армавире,,needs_review,manual
wd:Q141358,city,Люберцы,,pl,pl_tantum,always,Люберцы,Люберец,Люберцам,Люберцы,Люберцами,Люберцах,,needs_review,manual
