id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
wd:Q4472069,hodonym,Улица Дзержинского,,,mixed_phrase,always,Улица Дзержинского,,,,,,,needs_review,wikidata
wd:Q4472976,hodonym,Улица Мазурука,,,mixed_phrase,always,Улица Мазурука,,,,,,,needs_review,wikidata
wd:Q4503556,hodonym,Цветочный проезд,,,mixed_phrase,always,Цветочный проезд,,,,,,,needs_review,wikidata
wd:Q4132209,hodonym,Галактионовская улица,,,mixed_phrase,always,Галактионовская улица,,,,,,,needs_review,wikidata
wd:Q4472351,hodonym,Улица Карбышева,,,mixed_phrase,always,Улица Карбышева,,,,,,,needs_review,wikidata
wd:Q4253079,hodonym,Лазурный переулок,,,mixed_phrase,always,Лазурный переулок,,,,,,,needs_review,wikidata
wd:Q4364899,hodonym,Плетешковский тупик,,,mixed_phrase,always,Плетешковский тупик,,,,,,,needs_review,wikidata
wd:Q4351182,hodonym,Переулок Яблочкина,,,mixed_phrase,always,Переулок Яблочкина,,,,,,,needs_review,wikidata
wd:Q4381211,hodonym,Проспект Ленина,,,mixed_phrase,always,Проспект Ленина,,,,,,,needs_review,wikidata
wd:Q4135687,hodonym,Геологическая улица,,,mixed_phrase,always,Геологическая улица,,,,,,,needs_review,wikidata
wd:Q4249643,hodonym,Кутузовская улица,,,mixed_phrase,always,Кутузовская улица,,,,,,,needs_review,wikidata
wd:Q4275077,hodonym,Майская улица,,,mixed_phrase,always,Майская улица,,,,,,,needs_review,wikidata
wd:Q4292048,hodonym,Мефодиевская улица,,,mixed_phrase,always,Мефодиевская улица,,,,,,,needs_review,wikidata
wd:Q4228987,hodonym,Кольцо Трубного завода,,,mixed_phrase,always,Кольцо Трубного завода,,,,,,,needs_review,wikidata
wd:Q4237484,hodonym,Крайняя улица,,,mixed_phrase,always,Крайняя улица,,,,,,,needs_review,wikidata
wd:Q4269524,hodonym,Лунный переулок,,,mixed_phrase,always,Лунный переулок,,,,,,,needs_review,wikidata
wd:Q4298302,hodonym,Мичурина улица,,,mixed_phrase,always,Мичурина улица,,,,,,,needs_review,wikidata
wd:Q4472261,hodonym,Улица Зорге,,,mixed_phrase,always,Улица Зорге,,,,,,,needs_review,wikidata
wd:Q4501858,hodonym,Хрустальная улица,,,mixed_phrase,always,Хрустальная улица,,,,,,,needs_review,wikidata
wd:Q4472959,hodonym,Улица Льва Толстого,,,mixed_phrase,always,Улица Льва Толстого,,,,,,,needs_review,wikidata
wd:Q4111277,hodonym,Вилоновская улица,,,mixed_phrase,always,Вилоновская улица,,,,,,,needs_review,wikidata
wd:Q4360002,hodonym,Песчаная улица,,,mixed_phrase,always,Песчаная улица,,,,,,,needs_review,wikidata
wd:Q4112961,hodonym,Владивостокская улица,,,mixed_phrase,always,Владивостокская улица,,,,,,,needs_review,wikidata
wd:Q4295698,hodonym,Мирная улица,,,mixed_phrase,always,Мирная улица,,,,,,,needs_review,wikidata
wd:Q4367297,hodonym,Подгоренская улица,,,mixed_phrase,always,Подгоренская улица,,,,,,,needs_review,wikidata
wd:Q4426375,hodonym,Советская улица,,,mixed_phrase,always,Советская улица,,,,,,,needs_review,wikidata
wd:Q4472297,hodonym,Улица Имая Насыри,,,mixed_phrase,always,Улица Имая Насыри,,,,,,,needs_review,wikidata
wd:Q4472165,hodonym,Улица Елизарова,,,mixed_phrase,always,Улица Елизарова,,,,,,,needs_review,wikidata
wd:Q4394004,hodonym,Речная улица,,,mixed_phrase,always,Речная улица,,,,,,,needs_review,wikidata
wd:Q4430218,hodonym,Социалистическая улица,,,mixed_phrase,always,Социалистическая улица,,,,,,,needs_review,wikidata
wd:Q4242941,hodonym,Крымский переулок,,,mixed_phrase,always,Крымский переулок,,,,,,,needs_review,wikidata
wd:Q4388457,hodonym,Раздольная улица,,,mixed_phrase,always,Раздольная улица,,,,,,,needs_review,wikidata
wd:Q4427472,hodonym,Сокольская улица,,,mixed_phrase,always,Сокольская улица,,,,,,,needs_review,wikidata
wd:Q4262118,hodonym,Линейный переулок,,,mixed_phrase,always,Линейный переулок,,,,,,,needs_review,wikidata
wd:Q4381207,hodonym,Проспект Ленина,,,mixed_phrase,always,Проспект Ленина,,,,,,,needs_review,wikidata
wd:Q4163651,hodonym,Добровская улица,,,mixed_phrase,always,Добровская улица,,,,,,,needs_review,wikidata
wd:Q4472335,hodonym,Улица Калинина,,,mixed_phrase,always,Улица Калинина,,,,,,,needs_review,wikidata
wd:Q4238253,hodonym,Красноармейская улица,,,mixed_phrase,always,Красноармейская улица,,,,,,,needs_review,wikidata
wd:Q4472788,hodonym,Улица Лазо,,,mixed_phrase,always,Улица Лазо,,,,,,,needs_review,wikidata
wd:Q4472915,hodonym,Улица Лодыгина,,,mixed_phrase,always,Улица Лодыгина,,,,,,,needs_review,wikidata
wd:Q4421428,hodonym,Сказочный переулок,,,mixed_phrase,always,Сказочный переулок,,,,,,,needs_review,wikidata
wd:Q4472385,hodonym,Улица Карла Маркса,,,mixed_phrase,always,Улица Карла Маркса,,,,,,,needs_review,wikidata
wd:Q4351144,hodonym,Переулок Рахманинова,,,mixed_phrase,always,Переулок Рахманинова,,,,,,,needs_review,wikidata
wd:Q4248836,hodonym,Курская улица,,,mixed_phrase,always,Курская улица,,,,,,,needs_review,wikidata
wd:Q4472082,hodonym,Улица Дмитриевой,,,mixed_phrase,always,Улица Дмитриевой,,,,,,,needs_review,wikidata
wd:Q4230197,hodonym,Комсомольская улица,,,mixed_phrase,always,Комсомольская улица,,,,,,,needs_review,wikidata
wd:Q4389311,hodonym,Ракетный переулок,,,mixed_phrase,always,Ракетный переулок,,,,,,,needs_review,wikidata
wd:Q4404851,hodonym,Садовый переулок,,,mixed_phrase,always,Садовый переулок,,,,,,,needs_review,wikidata
wd:Q4351173,hodonym,Переулок Челюскинцев,,,mixed_phrase,always,Переулок Челюскинцев,,,,,,,needs_review,wikidata
wd:Q4398514,hodonym,Ростовский переулок,,,mixed_phrase,always,Ростовский переулок,,,,,,,needs_review,wikidata
wd:Q4099049,hodonym,Бульвар Купца Ефремова,,,mixed_phrase,always,Бульвар Купца Ефремова,,,,,,,needs_review,wikidata
wd:Q4240528,hodonym,Кречетниковский переулок,,,mixed_phrase,always,Кречетниковский переулок,,,,,,,needs_review,wikidata
wd:Q4389360,hodonym,Ракитная улица,,,mixed_phrase,always,Ракитная улица,,,,,,,needs_review,wikidata
wd:Q4351163,hodonym,Переулок Ушакова,,,mixed_phrase,always,Переулок Ушакова,,,,,,,needs_review,wikidata
wd:Q4351176,hodonym,Переулок Штамповщиков,,,mixed_phrase,always,Переулок Штамповщиков,,,,,,,needs_review,wikidata
wd:Q4472780,hodonym,Улица Лавочкина,,,mixed_phrase,always,Улица Лавочкина,,,,,,,needs_review,wikidata
wd:Q4472818,hodonym,Улица Лейтенанта Шмидта,,,mixed_phrase,always,Улица Лейтенанта Шмидта,,,,,,,needs_review,wikidata
wd:Q4472109,hodonym,Улица Долгорукова,,,mixed_phrase,always,Улица Долгорукова,,,,,,,needs_review,wikidata
wd:Q4399556,hodonym,Рудничная улица,,,mixed_phrase,always,Рудничная улица,,,,,,,needs_review,wikidata
wd:Q4351136,hodonym,Переулок Помяловского,,,mixed_phrase,always,Переулок Помяловского,,,,,,,needs_review,wikidata
wd:Q4271099,hodonym,Львовский переулок,,,mixed_phrase,always,Львовский переулок,,,,,,,needs_review,wikidata
wd:Q4243494,hodonym,Кубанская улица,,,mixed_phrase,always,Кубанская улица,,,,,,,needs_review,wikidata
wd:Q4228803,hodonym,Колхозный проезд,,,mixed_phrase,always,Колхозный проезд,,,,,,,needs_review,wikidata
wd:Q4402631,hodonym,Рязанская улица,,,mixed_phrase,always,Рязанская улица,,,,,,,needs_review,wikidata
wd:Q4287753,hodonym,Медицинская улица,,,mixed_phrase,always,Медицинская улица,,,,,,,needs_review,wikidata
wd:Q4472239,hodonym,Улица Земеца,,,mixed_phrase,always,Улица Земеца,,,,,,,needs_review,wikidata
wd:Q4193902,hodonym,Зоологический тупик,,,mixed_phrase,always,Зоологический тупик,,,,,,,needs_review,wikidata
wd:Q4472704,hodonym,Улица Крупской,,,mixed_phrase,always,Улица Крупской,,,,,,,needs_review,wikidata
wd:Q4471941,hodonym,Улица Городовикова,,,mixed_phrase,always,Улица Городовикова,,,,,,,needs_review,wikidata
wd:Q4461933,hodonym,Трамвайный переулок,,,mixed_phrase,always,Трамвайный переулок,,,,,,,needs_review,wikidata
wd:Q4513552,hodonym,Черниговский переулок,,,mixed_phrase,always,Черниговский переулок,,,,,,,needs_review,wikidata
wd:Q4473579,hodonym,Улица Писарева,,,mixed_phrase,always,Улица Писарева,,,,,,,needs_review,wikidata
wd:Q4465227,hodonym,Тульская улица,,,mixed_phrase,always,Тульская улица,,,,,,,needs_review,wikidata
wd:Q4371598,hodonym,Полярная улица,,,mixed_phrase,always,Полярная улица,,,,,,,needs_review,wikidata
wd:Q4370829,hodonym,Полтавский переулок,,,mixed_phrase,always,Полтавский переулок,,,,,,,needs_review,wikidata
wd:Q4382460,hodonym,Прудная улица,,,mixed_phrase,always,Прудная улица,,,,,,,needs_review,wikidata
wd:Q4536171,hodonym,Ягодная улица,,,mixed_phrase,always,Ягодная улица,,,,,,,needs_review,wikidata
wd:Q4472554,hodonym,Улица Конституции,,,mixed_phrase,always,Улица Конституции,,,,,,,needs_review,wikidata
wd:Q4464227,hodonym,Трубная улица,,,mixed_phrase,always,Трубная улица,,,,,,,needs_review,wikidata
wd:Q4505697,hodonym,Цимлянская улица,,,mixed_phrase,always,Цимлянская улица,,,,,,,needs_review,wikidata
wd:Q4379399,hodonym,Пришкольная улица,,,mixed_phrase,always,Пришкольная улица,,,,,,,needs_review,wikidata
wd:Q4471317,hodonym,Улица Арсеньева,,,mixed_phrase,always,Улица Арсеньева,,,,,,,needs_review,wikidata
wd:Q4323440,hodonym,Новогодний переулок,,,mixed_phrase,always,Новогодний переулок,,,,,,,needs_review,wikidata
wd:Q4371746,hodonym,Поморская улица,,,mixed_phrase,always,Поморская улица,,,,,,,needs_review,wikidata
wd:Q4539352,hodonym,Ясная улица,,,mixed_phrase,always,Ясная улица,,,,,,,needs_review,wikidata
wd:Q4196602,hodonym,Ивановская улица,,,mixed_phrase,always,Ивановская улица,,,,,,,needs_review,wikidata
wd:Q4471082,hodonym,Улица 500-летия Чебоксар,,,mixed_phrase,always,Улица 500-летия Чебоксар,,,,,,,needs_review,wikidata
wd:Q4517568,hodonym,Чугунный переулок,,,mixed_phrase,always,Чугунный переулок,,,,,,,needs_review,wikidata
wd:Q4471139,hodonym,Улица Адамова,,,mixed_phrase,always,Улица Адамова,,,,,,,needs_review,wikidata
wd:Q4462496,hodonym,Третий Бабьегородский переулок,,,mixed_phrase,always,Третий Бабьегородский переулок,,,,,,,needs_review,wikidata
wd:Q4303278,hodonym,Морская улица,,,mixed_phrase,always,Морская улица,,,,,,,needs_review,wikidata
wd:Q4472513,hodonym,Улица Комарова,,,mixed_phrase,always,Улица Комарова,,,,,,,needs_review,wikidata
wd:Q4154865,hodonym,Данковский переулок,,,mixed_phrase,always,Данковский переулок,,,,,,,needs_review,wikidata
wd:Q4304903,hodonym,Моторный переулок,,,mixed_phrase,always,Моторный переулок,,,,,,,needs_review,wikidata
